"Butternut squashAverage retail price per pound and per cup equivalent, 2016",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Form,Average retail price ,,Preparation,Size of a ,,Average price
,,,yield factor,cup equivalent ,,per cup equivalent
Fresh1,$1.29, per pound,0.714,0.452,pounds,$0.82
"1It is assumed that butternut squash is baked prior to consumption. Agricultural Handbook No.102 reports a preparation yield of 85 percent for baking fresh winter squash. It also reports that rind, trimmings, and other inedible parts account for 16 percent of raw butternut squash. Based on these figures, ERS estimates an overall preparation yield of 71.4 percent. ",,,,,,
,,,,,,
"Source: Calculated by USDA, Economic Research Service, from 2016 IRI Infoscan data; Agriculture Handbook No.102, Food Yields Summarized by Different Stages of Preparation, 1975 (AH102); and the Food Patterns Equivalents Database (FPED) 2013-14 as well as the FPED's accompanying Methodology and User Guide.",,,,,,
