"Iceberg lettuceAverage retail price per pound and per cup equivalent, 2016",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Form,Average retail price ,,Preparation,Size of a ,,Average price
,,,yield factor,cup equivalent ,,per cup equivalent
Fresh1,$1.09, per pound,0.95,0.243,pounds,$0.28
"1It is assumed that iceberg lettuce is consumed raw. According to the USDA National Nutrient Database for Standard Reference (SR), inedible core accounts for 5 percent of the retail product's weight, indicating a preparation yield of 95 percent.",,,,,,
,,,,,,
"Source: Calculated by USDA, Economic Research Service, from 2016 IRI Infoscan data; the USDA National Nutrient Database for Standard Reference (SR), Release 26; and the Food Patterns Equivalents Database (FPED) 2013-14 as well as the FPED's accompanying Methodology and User Guide.",,,,,,
