"GrapefruitAverage retail price per pound or pint and per cup equivalent, 2016",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Form,Average retail price ,,Preparation,Size of a ,,Average price
,,,yield factor,cup equivalent ,,per cup equivalent
Fresh1,$1.01, per pound,0.49,0.463,pounds,$0.95
"Juice, ready to drink2",$0.85, per pint,1,8,fl oz,$0.42
"1The USDA National Nutrient Database for Standard Reference (SR) reports that inedible peel, seeds, core, and membrane account for 51 percent of the retail weight, implying a preparation yield of 49 percent, when grapefruit is eaten raw.",,,,,,
,,,,,,
2Includes refrigerated and unrefrigerated juice. ,,,,,,
,,,,,,
"Source: Calculated by USDA, Economic Research Service, from 2016 IRI Infoscan data; the USDA National Nutrient Database for Standard Reference (SR), Release 26; and the Food Patterns Equivalents Database (FPED) 2013-14 as well as the FPED's accompanying Methodology and User Guide.",,,,,,
