"Mixed berriesAverage retail price per pound and per cup equivalent, 2016",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Form,Average retail price ,,Preparation,Size of a ,,Average price
,,,yield factor,cup equivalent ,,per cup equivalent
Frozen1,$3.64, per pound,1,0.331,pounds,$1.20
"1Excludes berries with added sugar or other sweeteners. Includes a variety of unsweetened berry mixes described as blends, jubilees, medleys, and mixes. It is assumed that consumers eat the berries in frozen form without further preparation.",,,,,,
,,,,,,
"Source: Calculated by USDA, Economic Research Service, from 2016 IRI Infoscan data and the Food Patterns Equivalents Database (FPED) 2013-14 as well as the FPED's accompanying Methodology and User Guide. ",,,,,,
