"PomegranateAverage retail price per pound or pint and per cup equivalent, 2016",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Form,Average retail price ,,Preparation,Size of a ,,Average price,,
,,,yield factor,cup equivalent ,,per cup equivalent,,
Fresh1,$2.08, per pound,0.56,0.342,pounds,$1.27,,
"Juice, ready to drink2",$3.01, per pint,1,8,fl oz,$1.51,,
"1The USDA National Nutrient Database for Standard Reference (SR) reports that inedible skin and membrane account for 44 percent of the retail weight, implying a preparation yield of 56 percent, when pomegranate is eaten raw.",,,,,,,,
,,,,,,,,
2Includes refrigerated and unrefrigerated juice. ,,,,,,,,
,,,,,,,,
"Source: Calculated by USDA, Economic Research Service, from 2016 IRI Infoscan data; the USDA National Nutrient Database for Standard Reference (SR), Release 26; and the Food Patterns Equivalents Database (FPED) 2013-14 as well as the FPED's accompanying Methodology and User Guide. ",,,,,,,,
