"Sweet potatoesAverage retail price per pound and per cup equivalent, 2016",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Form,Average retail price ,,Preparation,Size of a ,,Average price
,,,yield factor,cup equivalent ,,per cup equivalent
Fresh1,$1.05, per pound,0.811,0.441,pounds,$0.57
"1It is assumed that consumers bake fresh sweet potatoes and eat the peel. The USDA Food and Nutrient Database for Dietary Studies (FNDDS) reports that baking one ounce of raw sweet potato yields 23 grams of cooked vegetable when the peel is eaten, indicating a preparation yield of about 81.1 percent.  ",,,,,,
,,,,,,
"Source: Calculated by USDA, Economic Research Service, from 2016 IRI Infoscan data; the USDA Food and Nutrient Database for Dietary Studies (FNDDS), 5.0; and the Food Patterns Equivalents Database (FPED) 2013-14 as well as the FPED's accompanying Methodology and User Guide.",,,,,,
