"FigsAverage retail price per pound and per cup equivalent, 2016",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Form,Average retail price ,,Preparation,Size of a ,,Average price,,
,,,yield factor,cup equivalent ,,per cup equivalent,,
Dried1,$6.13, per pound,0.96,0.165,pounds,$1.06,,
"1Includes whole dried figs. The USDA National Nutrient Database for Standard Reference (SR) reports that the inedible stems of dried figs account for 4 percent of the fruit's weight, implying a preparation yield of 96 percent.",,,,,,,,
,,,,,,,,
"Source: Calculated by USDA, Economic Research Service, from 2016 IRI Infoscan data; the USDA National Nutrient Database for Standard Reference (SR), Release 26; and the Food Patterns Equivalents Database (FPED) 2013-14 as well as the FPED's accompanying Methodology and User Guide. ",,,,,,,,
