"Brussels sproutsAverage retail price per pound and per cup equivalent, 2016",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Form,Average retail price ,,Preparation,Size of a ,,Average price
,,,yield factor,cup equivalent ,,per cup equivalent
Fresh1,$2.96, per pound,1.06,0.342,pounds,$0.95
Frozen2,$2.04, per pound,0.96,0.342,pounds,$0.73
"1It is assumed that fresh brussels sprouts are boiled, steamed, or pressure cooked prior to consumption. Agriculture Handbook No.102 (AH102) reports a preparation yield of 106 percent for preparing trimmed, ready-to-cook brussels sprouts in this way.  ",,,,,,
,,,,,,
2It is assumed that frozen brussels sprouts are boiled prior to consumption. AH102 reports a preparation yield of 96 percent for cooking frozen brussels sprouts.,,,,,,
,,,,,,
"Source: Calculated by USDA, Economic Research Service, from 2016 IRI Infoscan data;  Agriculture Handbook No. 102, Food Yields Summarized by Different Stages of Preparation, 1975 (AH102); and the Food Patterns Equivalents Database (FPED) 2013-14 as well as the FPED's accompanying Methodology and User Guide.",,,,,,
