"CantaloupeAverage retail price per pound and per cup equivalent, 2016",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Form,Average retail price ,,Preparation,Size of a ,,Average price
,,,yield factor,cup equivalent ,,per cup equivalent
Fresh1,$0.52, per pound,0.51,0.375,pounds,$0.38
"1The USDA National Nutrient Database for Standard Reference (SR) reports that inedible rind, cavity contents, and cutting loss account for 49 percent of the fruit's weight, implying a preparation yield of 51 percent, when the fruit is eaten raw.",,,,,,
,,,,,,
"Source: Calculated by USDA, Economic Research Service, from 2016 IRI Infoscan data; the USDA National Nutrient Database for Standard Reference (SR), Release 26; and the Food Patterns Equivalents Database (FPED) 2013-14 as well as the FPED's accompanying Methodology and User Guide. ",,,,,,
