"WatermelonAverage retail price per pound and per cup equivalent, 2016",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Form,Average retail price ,,Preparation,Size of a ,,Average price
,,,yield factor,cup equivalent ,,per cup equivalent
Fresh1,$0.32, per pound,0.52,0.331,pounds,$0.20
"1The USDA National Nutrient Database for Standard Reference (SR) reports that inedible rind, seeds, and cutting loss account for 48 percent of the retail weight, implying a preparation yield of 52 percent, when watermelon is eaten raw.",,,,,,
,,,,,,
"Source: Calculated by USDA, Economic Research Service, from 2016 IRI Infoscan data; the USDA National Nutrient Database for Standard Reference (SR), Release 26; and the Food Patterns Equivalents Database (FPED) 2013-14 as well as the FPED's accompanying Methodology and User Guide. ",,,,,,
