"Acorn squashAverage retail price per pound and per cup equivalent, 2016",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Form,Average retail price ,,Preparation,Size of a ,,Average price
,,,yield factor,cup equivalent ,,per cup equivalent
Fresh1,$1.12, per pound,0.459,0.452,pounds,$1.10
"1It is assumed that consumers bake acorn squash prior to consumption. Each pound purchased at retail yields about 0.46 pounds of cooked vegetable after baking and removing inedible parts like the seeds, rind and stem (USDA Food and Nutrient Database for Dietary Studies). ",,,,,,
,,,,,,
"Source: Calculated by USDA, Economic Research Service, from 2016 IRI Infoscan data; the USDA Food and Nutrient Database for Dietary Studies (FNDDS), 5.0; and the Food Patterns Equivalents Database (FPED) 2013-14 as well as the FPED's accompanying Methodology and User Guide.",,,,,,
