"MushroomsAverage retail price per pound and per cup equivalent, 2016",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Form,Average retail price ,,Preparation,Size of a ,,Average price
,,,yield factor,cup equivalent ,,per cup equivalent
Fresh1,,,,,,
Whole,$3.55, per pound,0.97,0.154,pounds,$0.56
Sliced,$3.81, per pound,1,0.154,pounds,$0.59
"1Includes regular mushrooms (i.e., white button or agaricus mushrooms). It is assumed that fresh mushrooms are eaten raw. The USDA National Nutrient Database for Standard Reference (SR) reports that inedible trimmings account for 3 percent of the weight of whole, white mushrooms, indicating a preparation yield of 97 percent. ERS assumes that 100 percent of sliced mushrooms is edible.",,,,,,
,,,,,,
"Source: Calculated by USDA, Economic Research Service, from 2016 IRI Infoscan data; the USDA National Nutrient Database for Standard Reference (SR), Release 26; and the Food Patterns Equivalents Database (FPED) 2013-14 as well as the FPED's accompanying Methodology and User Guide.",,,,,,
