"BlueberriesAverage retail price per pound and per cup equivalent, 2016",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Form,Average retail price ,,Preparation,Size of a ,,Average price
,,,yield factor,cup equivalent ,,per cup equivalent
Fresh1,$4.39, per pound,0.95,0.320,pounds,$1.48
Frozen2,$3.47, per pound,1,0.331,pounds,$1.15
"1The USDA National Nutrient Database for Standard Reference (SR) reports that inedible stems and green or spoiled berries account for 5 percent of the fruit's weight, implying a preparation yield of 95 percent, when eaten raw.",,,,,,
,,,,,,
2Excludes blueberries with added sugar or other sweeteners. Includes unsweetened blueberries.  Consumers are assumed to eat the berries in frozen form without further preparation.,,,,,,
,,,,,,
"Source: Calculated by USDA, Economic Research Service, from 2016 IRI Infoscan data; the USDA National Nutrient Database for Standard Reference (SR), Release 26; and the Food Patterns Equivalents Database (FPED) 2013-14 as well as the FPED's accompanying Methodology and User Guide. ",,,,,,
