"MangoesAverage retail price per pound and per cup equivalent, 2016",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Form,Average retail price ,,Preparation,Size of a ,,Average price
,,,yield factor,cup equivalent ,,per cup equivalent
Fresh1,$1.32, per pound,0.71,0.364,pounds,$0.68
Dried2,$10.16, per pound,1,0.125,pounds,$1.27
"1The USDA National Nutrient Database for Standard Reference (SR) reports that inedible seeds and skin account for 29 percent of the retail weight, implying a preparation yield of 71 percent, when eaten raw.",,,,,,
,,,,,,
2Includes dried mango in a variety of shapes like chunks and slices.  ,,,,,,
,,,,,,
"Source: Calculated by USDA, Economic Research Service, from 2016 IRI Infoscan data; the USDA National Nutrient Database for Standard Reference (SR), Release 26; and the Food Patterns Equivalents Database (FPED) 2013-14 as well as the FPED's accompanying Methodology and User Guide. ",,,,,,
