"CranberriesAverage retail price per pound and per cup equivalent, 2016",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Form,Average retail price ,,Preparation,Size of a ,,Average price,,
,,,yield factor,cup equivalent ,,per cup equivalent,,
Dried1,$4.69,per pound,1,0.123,pounds,$0.58,,
1Includes dried cranberries and dried cranberry pieces. Excludes some dried cranberries with other fruit flavors.,,,,,,,,
,,,,,,,,
"Source: Calculated by USDA, Economic Research Service, from 2016 IRI Infoscan data and the Food Patterns Equivalents Database (FPED) 2013-14 as well as the FPED's accompanying Methodology and User Guide. ",,,,,,,,
,,,,,,,,
