"CucumbersAverage retail price per pound and per cup equivalent, 2016",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Form,Average retail price ,,Preparation,Size of a ,,Average price
,,,yield factor,cup equivalent ,,per cup equivalent
"Fresh, consumed with peel1",$1.26, per pound,0.97,0.265,pounds,$0.34
"Fresh, peeled1",$1.26, per pound,0.73,0.265,pounds,$0.46
"1Includes green ridge cucumbers; excludes other varieties like English, hot house, and mini cucumbers. It is assumed that consumers eat the vegetable raw. The the USDA National Nutrient Database for Standard Reference (SR) reports that inedible ends account for 3 percent of the retail product's weight. Thus, if eaten with peel, the preparation yield is 97 percent. However, if consumers peel the cucumber, the preparation yield falls to 73 percent (SR).  ",,,,,,
,,,,,,
"Source: Calculated by USDA, Economic Research Service, from 2016 IRI Infoscan data; the USDA National Nutrient Database for Standard Reference (SR), Release 26; and the Food Patterns Equivalents Database (FPED) 2013-14 as well as the FPED's accompanying Methodology and User Guide.",,,,,,
