"PumpkinAverage retail price per pound and per cup equivalent, 2016",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Form,Average retail price ,,Preparation,Size of a ,,Average price
,,,yield factor,cup equivalent ,,per cup equivalent
Canned1,$1.38, per pound,1,0.540,pounds,$0.74
"1Excludes pie mix and pie filling. Canned pumpkin may be used in the preparation of soups and baked foods. However, the cooking yield in the above table does not account for any further preparation that may occur prior to consumption.    ",,,,,,
,,,,,,
"Source: Calculated by USDA, Economic Research Service, from 2016 IRI Infoscan data and the Food Patterns Equivalents Database (FPED) 2013-14 as well as the FPED's accompanying Methodology and User Guide.",,,,,,
