"Summer squashAverage retail price per pound and per cup equivalent, 2016",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Form,Average retail price ,,Preparation,Size of a ,,Average price
,,,yield factor,cup equivalent ,,per cup equivalent
Fresh1,$1.64, per pound,0.77,0.397,pounds,$0.85
"1Includes geen and yellow zucchini. It is assumed that consumers boil fresh summer squash. The USDA National Nutrient Database for Standard Reference (SR) reports that 95 percent of the weight of a summer squash is edible, and Agriculture Handbook No.102 reports an 81 percent yield from boiling the edible parts, implying an overall preparation yield of about 77 percent. ",,,,,,
,,,,,,
"Source: Calculated by USDA, Economic Research Service, from 2016 IRI Infoscan data; the USDA National Nutrient Database for Standard Reference (SR), Release 26; Agriculture Handbook No.102, Food Yields Summarized by Different Stages of Preparation, 1975 (AH102); and the Food Patterns Equivalents Database (FPED) 2013-14 as well as the FPED's accompanying Methodology and User Guide.",,,,,,
