"PapayaAverage retail price per pound and per cup equivalent, 2016",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Form,Average retail price ,,Preparation,Size of a ,,Average price
,,,yield factor,cup equivalent ,,per cup equivalent
Fresh1,$1.29, per pound,0.62,0.309,pounds,$0.64
Dried2,$5.27, per pound,1,0.154,pounds,$0.81
"1The USDA National Nutrient Database for Standard Reference (SR) reports that inedible seeds and skin account for 38 percent of the retail weight, implying a preparation yield of 62 percent, when eaten raw.",,,,,,
,,,,,,
"2Includes dried papaya in a variety of shapes like chunks, spears, or pieces.  ",,,,,,
,,,,,,
"Source: Calculated by USDA, Economic Research Service, from 2016 IRI Infoscan data; the USDA National Nutrient Database for Standard Reference (SR), Release 26; and the Food Patterns Equivalents Database (FPED) 2013-14 as well as the FPED's accompanying Methodology and User Guide. ",,,,,,
